Datetime,Water Level (m)
2024-12-01 12:00:00,-1.4259516
2024-12-01 13:00:00,-1.4182802
2024-12-01 14:00:00,-0.8271342
2024-12-01 15:00:00,-0.05551562
2024-12-01 16:00:00,0.5977573
2024-12-01 17:00:00,1.1646289
2024-12-01 18:00:00,1.4207838
2024-12-01 19:00:00,1.3323722
2024-12-01 20:00:00,0.96715873
2024-12-01 21:00:00,0.31875366
2024-12-01 22:00:00,-0.31414202
2024-12-01 23:00:00,-0.7804858
2024-12-02 00:00:00,-1.1583856
2024-12-02 01:00:00,-1.3821931
2024-12-02 02:00:00,-1.2816839
2024-12-02 03:00:00,-0.5898673
2024-12-02 04:00:00,0.17129044
2024-12-02 05:00:00,0.74859047
2024-12-02 06:00:00,1.0963508
2024-12-02 07:00:00,1.0792108
2024-12-02 08:00:00,0.5640554
2024-12-02 09:00:00,-0.11268978
2024-12-02 10:00:00,-0.657814
2024-12-02 11:00:00,-1.0835557
2024-12-02 12:00:00,-1.3878216
2024-12-02 13:00:00,-1.5347385
2024-12-02 14:00:00,-1.3378363
2024-12-02 15:00:00,-0.58871996
2024-12-02 16:00:00,0.19415201
2024-12-02 17:00:00,0.86219543
2024-12-02 18:00:00,1.3914272
2024-12-02 19:00:00,1.4339142
2024-12-02 20:00:00,1.1838597
2024-12-02 21:00:00,0.61261517
2024-12-02 22:00:00,-0.042564716
2024-12-02 23:00:00,-0.5749733
2024-12-03 00:00:00,-0.9791879
2024-12-03 01:00:00,-1.2873734
2024-12-03 02:00:00,-1.4013402
2024-12-03 03:00:00,-1.0798303
2024-12-03 04:00:00,-0.31851286
2024-12-03 05:00:00,0.35858902
2024-12-03 06:00:00,0.8518373
2024-12-03 07:00:00,1.1119411
2024-12-03 08:00:00,0.9275168
2024-12-03 09:00:00,0.29403362
2024-12-03 10:00:00,-0.35225803
2024-12-03 11:00:00,-0.8368743
2024-12-03 12:00:00,-1.2334708
2024-12-03 13:00:00,-1.4691968
2024-12-03 14:00:00,-1.4932973
2024-12-03 15:00:00,-1.0280172
2024-12-03 16:00:00,-0.23352677
2024-12-03 17:00:00,0.4701365
2024-12-03 18:00:00,1.0650625
2024-12-03 19:00:00,1.3878081
2024-12-03 20:00:00,1.3775206
2024-12-03 21:00:00,0.99019754
2024-12-03 22:00:00,0.36465332
2024-12-03 23:00:00,-0.27846828
2024-12-04 00:00:00,-0.75273377
2024-12-04 01:00:00,-1.1334044
2024-12-04 02:00:00,-1.3814169
2024-12-04 03:00:00,-1.3629881
2024-12-04 04:00:00,-0.8148367
2024-12-04 05:00:00,-0.064810775
2024-12-04 06:00:00,0.52710193
2024-12-04 07:00:00,0.92776406
2024-12-04 08:00:00,1.051147
2024-12-04 09:00:00,0.690608
2024-12-04 10:00:00,0.037281416
2024-12-04 11:00:00,-0.53228265
2024-12-04 12:00:00,-0.9721341
2024-12-04 13:00:00,-1.3066957
2024-12-04 14:00:00,-1.4765962
2024-12-04 15:00:00,-1.3809763
2024-12-04 16:00:00,-0.73834705
2024-12-04 17:00:00,0.03398441
2024-12-04 18:00:00,0.69088817
2024-12-04 19:00:00,1.2306341
2024-12-04 20:00:00,1.4451237
2024-12-04 21:00:00,1.2389568
2024-12-04 22:00:00,0.7590634
